"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Rv0614",95.145693228074,0.507376914119056,0.182278996824472,0.00111651790499007,0.00279797839202617
"Rv0615",278.6163180838,-0.527872220764196,0.118141228639503,1.69227429906258e-06,7.1218781876951e-06
"Rv0616A",60.1162149455207,0.0917791111033179,0.160015300873618,0.494036187887222,0.584061212612212
"Rv0616c",22.3034400058695,-0.0775775388878782,0.236925898774239,0.577552711887026,0.660254407075588
"Rv0617",371.792301233277,-0.0715609691464219,0.0891316348909371,0.389104919333231,0.482378511280629
"Rv0618",510.427491600916,0.126331936195482,0.0739452430098492,0.0763079626514305,0.121976192710908
"Rv0619",23.0635939481294,0.0755981708697477,0.217878844575304,0.601516194589071,0.681935548996789
"Rv0620",12.0995220100467,0.453431325697094,0.443133799401802,0.0367341517514413,0.0642161413254866
"Rv0621",178.279238735069,-0.345462908512057,0.134878526684839,0.00386877404641431,0.00861002483636806
"Rv0622",132.142426622692,-0.131099334657161,0.13152232648169,0.25819061700238,0.343994667945884
"Rv0623",152.020346373826,0.182617081463802,0.147766391241661,0.150664976897977,0.219164086731256
"Rv0624",292.425042069782,-0.079971394183688,0.105579337949575,0.411793965770446,0.504219397127175
"Rv0625c",461.255366028603,0.084310033010459,0.0787824042630869,0.264794464441667,0.351380575603774
"Rv0626",409.632431496341,-0.361744947693908,0.0951898710715315,5.10149352246621e-05,0.000166847366273422
"Rv0627",395.35853511805,-0.551177746596423,0.0970559469969249,2.73561114691950e-09,1.74631228431763e-08
"Rv0628c",2298.54996400224,-0.531208837352693,0.081086380268579,1.26763462719545e-11,1.13035491308438e-10
"Rv0629c",528.957718937292,0.347348494832607,0.0994965552796382,0.000183336844254887,0.000540898093176324
"Rv0630c",770.345119822195,0.507043634320588,0.0668639157225024,8.44868517771022e-15,1.14677204613493e-13
"Rv0631c",646.052751476401,0.711437976916047,0.0803587172151021,1.32430396292043e-19,2.99247548894008e-18
"Rv0632c",2561.00413023381,0.503364106013304,0.0687193153921363,6.28021357157351e-14,7.79846369287941e-13
"Rv0633c",539.263735859598,0.189046952706398,0.106369137935637,0.054470190287746,0.0912886417085401
"Rv0634A",131.032399027175,0.0523252416171006,0.130648144540147,0.650356669423483,0.724703971503836
"Rv0634B",0,NA,NA,NA,NA
